id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5220801,Condo Santa 1016,9270905,Carlos,Copacabana,-22.9699,-43.1875,Entire home/apt,259,1,1,2016-08-10,0.02,18,358
5225787,Mango Chalet in Casazen,26846934,Anne,Catete,-22.92465,-43.18184,Entire home/apt,100,3,3,2016-01-03,0.04,8,0
5230400,Aconchegante e bem localizado,11647707,Rose,Botafogo,-22.94576,-43.18076,Entire home/apt,300,3,4,2016-08-23,0.06,4,62
5235449,Apartamento aconchegante em Copa,21746256,Walda,Copacabana,-22.97171,-43.19233,Entire home/apt,707,2,37,2020-11-02,0.54,1,283
5236395,A cool corner in Leblon,27099250,Carlos Otávio,Leblon,-22.98229,-43.22573,Entire home/apt,500,5,30,2020-09-13,0.47,1,327
5236901,Um espaço só pra você,11538592,Aretuza,Vila Isabel,-22.91852,-43.25847,Private room,110,3,1,2015-04-21,0.01,1,364
5237812,Perfect 1 bedroom in Leblon,10649354,Regina,Leblon,-22.985670000000002,-43.22198,Entire home/apt,586,2,179,2020-12-07,3.17,3,86
5240882,PRAIA DO PEPÊ  - A MELHOR PRAIA DO RIO DE JANEIRO,27123201,Marly,Barra da Tijuca,-23.014570000000003,-43.30315,Entire home/apt,370,3,59,2020-12-06,1.11,2,343
5241362,STEPS FROM COPACABANA,27113745,Tania,Copacabana,-22.97312,-43.18911,Entire home/apt,383,5,9,2020-01-02,0.13,1,362
5247929,2 rooms and two bathrooms,20782891,Cacau,Botafogo,-22.95275,-43.183240000000005,Entire home/apt,280,10,19,2020-12-19,0.27,1,35
5249877,Ipanema 2 pièces très calmes.,27170508,Helena / Eric,Ipanema,-22.98674,-43.19381,Entire home/apt,820,3,5,2020-02-27,0.08,1,0
5251487,Flat incrível suite area cultural Rio,4143732,Ricardo,Centro,-22.91245,-43.17357,Entire home/apt,215,2,27,2020-12-07,0.38,4,38
5255723,Three-Bedroom Apartment S102,10796926,Frederico & Marcela,Santa Teresa,-22.91897,-43.18289,Entire home/apt,282,1,47,2020-07-12,0.72,15,329
5258464,"Room in Copacabana, near beach Great opportunity",27108754,Elcir,Copacabana,-22.97361,-43.190129999999996,Private room,249,3,17,2020-02-26,0.28,2,365
5261114,2 quadras da praia de Copacabana - Apt de 2quartos,27217347,Ronaldo,Copacabana,-22.9719,-43.187529999999995,Entire home/apt,210,5,1,2020-02-29,0.1,1,0
5268389,apto  Ipanema entre o mar e a Lagoa,26909189,Isabeth Gonçalves,Ipanema,-22.98108,-43.200390000000006,Entire home/apt,1114,1,12,2020-02-26,0.2,1,0
5271164,Bucolic view of the trees.,15539389,Cristina,Leblon,-22.98319,-43.22661,Private room,421,1,10,2020-01-02,0.17,2,335
5272425,Aconchegante flat suite área cultural Rio,4143732,Ricardo,Centro,-22.91094,-43.173120000000004,Entire home/apt,168,2,4,2020-01-09,0.06,4,49
5275359,Amplo quarto privado área nobre beira mar,27308403,Jocilene,Copacabana,-22.974120000000003,-43.18678,Private room,194,1,62,2020-02-28,0.87,2,365
5276709,Apartamento Flat em Copacabana,27315073,Thelio,Copacabana,-22.9743,-43.19403,Entire home/apt,737,2,43,2020-11-01,0.71,1,356
5282516,Apartamento 3 Quartos Flamengo RJ,7195997,Ana Lucia,Flamengo,-22.931070000000002,-43.17638,Entire home/apt,289,7,2,2017-02-20,0.03,2,363
5283854,Private master suite in the heart of Rio,27354939,Prudenciana,Flamengo,-22.9359,-43.17668,Entire home/apt,170,2,54,2020-08-12,0.89,1,351
5285438,Copacabana/Ipanema 100m from the beach,27365057,Carolina,Copacabana,-22.984389999999998,-43.18971,Entire home/apt,231,3,34,2020-12-13,0.48,1,320
5290990,Leblon: 2 quadras da praia!,27400159,Licia,Leblon,-22.98548,-43.21618,Entire home/apt,255,3,9,2017-03-15,0.13,1,267
5295540,"COMODIDADE, em excelente lugar da Zona Sul.",12765123,Rodrigo,Humaitá,-22.96096,-43.20047,Private room,307,2,7,2020-02-25,0.12,1,87
5296743,Barra da Tijuca - 2 suites.,27363750,Lúcio,Barra da Tijuca,-23.00574,-43.34827,Entire home/apt,420,3,6,2019-10-06,0.08,1,0
5297470,GREAT private room with double bed!,23942573,Roberto,Copacabana,-22.96965,-43.18902,Private room,278,1,22,2020-02-28,0.37,1,237
5299138,Quiet room in a colonial house.,10548523,Antonio,Santa Teresa,-22.91594,-43.18318,Private room,186,2,98,2020-03-10,1.38,3,90
5304226,AP 2QT BL1 TEMPORADA MOBILIADO PROX. RIO CENTRO,2487942,Aline,Jacarepaguá,-22.97174,-43.409079999999996,Entire home/apt,143,2,2,2020-08-30,0.14,5,313
5304365,Flat in Copacabana,27473247,Bernardo,Copacabana,-22.96384,-43.17922,Entire home/apt,231,3,69,2020-12-01,0.97,1,0
5306550,Charming room,4688820,Mauro,São Conrado,-22.99476,-43.26877,Private room,300,2,3,2020-01-06,0.12,4,361
5308217,COPACABANA Férias janeiro!!!!!,27495215,Ana,Copacabana,-22.96195,-43.17587,Entire home/apt,220,5,3,2020-02-28,0.08,1,359
5325370,Rent for season studio at downtown,27221661,Rafael,Centro,-22.91643,-43.1885,Entire home/apt,207,2,6,2020-01-26,0.1,1,365
5329154,Hippie Chic Studio in Botafogo,153721,Shushma & Nityam,Botafogo,-22.94915,-43.18087,Entire home/apt,101,2,123,2020-11-25,1.8,20,156
5342745,"Quarto Rio De Janeiro St Teresa,Lg Guimarães -SLT2",13180189,Cristina,Centro,-22.91687,-43.188520000000004,Private room,85,7,8,2020-02-27,0.13,3,341
5346785,Apartamento compacto,27709253,Eliane,Vargem Pequena,-22.9856,-43.4605,Private room,220,1,1,2017-09-17,0.03,9,359
5350028,Hotel Style suite (Yellow Suite),5448466,Dan,Copacabana,-22.97699,-43.1899,Private room,299,1,192,2020-11-02,2.71,7,226
